athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
39489,Doina Ciucanu-Robu,1967-07-22,Piatra Neamț,Neamț,ROU,Romania,195.0,91.0,N/A
39542,Dorin Alupei,1973-02-24,Cristești,Botoșani,ROU,Romania,204.0,100.0,N/A
39544,Andrei Bănică,1977-11-23,Constanța,Constanța,ROU,Romania,201.0,95.0,N/A
39553,Dănuț Dobre,1967-02-20,Fetești,Ialomița,ROU,Romania,192.0,85.0,N/A
39555,Ernest Gal,1950-07-19,Gălățeni,Mureș,ROU,Romania,192.0,89.0,N/A
39557,Dumitru Grumezescu,1949-03-07,Cuci-Bozieni,Neamț,ROU,Romania,193.0,93.0,N/A
39561,Petru Iosub,1961-06-16,Fălticeni,Suceava,ROU,Romania,191.0,93.0,N/A
39569,Vasile Măstăcan,1968-11-05,Podu Turcului,Bacău,ROU,Romania,193.0,93.0,N/A
39571,Gheorghe Moldoveanu,1945-12-15,Însurăței,Brăila,ROU,Romania,194.0,87.0,N/A
39572,Vasile Năstase,1962-01-01,N/A,N/A,N/A,Romania,191.0,96.0,N/A
39574,Dragoș Neagu,1967-02-28,București (Bucharest),București,ROU,Romania,198.0,104.0,N/A
39575,Cornel Nemțoc,1974-02-08,Costisa-Radauti,Suceava,ROU,Romania,198.0,97.0,N/A
39584,Dimitrie Popescu,1961-09-10,Straja,Suceava,ROU,Romania,197.0,93.0,2023-11-11
39589,Valentin Robu,1967-01-17,Sabaoni,Neamț,ROU,Romania,193.0,96.0,N/A
39594,Ioan Snep,1966-07-12,Negrești-Oaș,Satu Mare,ROU,Romania,192.0,94.0,N/A
39598,Neculai Țaga,1967-04-12,Avrămești,Harghita,ROU,Romania,192.0,94.0,N/A
39599,Viorel Talapan,1972-02-25,Mihai Viteazu,Constanța,ROU,Romania,198.0,97.0,N/A
39604,Vasile Tomoiagă,1964-01-20,Vișeu de Sus,Maramureș,ROU,Romania,197.0,97.0,N/A
39634,Ivan Pentz,1957-01-18,Bela Bela,Limpopo,RSA,South Africa,193.0,93.0,N/A
39651,Nikolay Aksyonov,1970-06-08,Sortavala,Respublika Kareliya,RUS,Russian Federation,201.0,100.0,N/A
39653,Andrey Glukhov,1972-06-01,Toshkent,Toshkent Shahri,UZB,Russian Federation,196.0,99.0,N/A
39655,Igor Kravtsov,1973-12-21,Magnitogorsk,Chelyabinsk,RUS,Russian Federation,192.0,105.0,N/A
39658,Sergey Matveyev,1972-09-08,Pskov,Pskov,RUS,Russian Federation,192.0,94.0,N/A
39659,Pavel Melnikov,1969-08-08,Novocherkassk,Rostov,RUS,Russian Federation,198.0,94.0,N/A
